timestamp,molecule_name,n_atoms,n_electrons,method,method_params,hardware,n_cores,wall_time_sec,memory_peak_mb,success,convergence_steps,final_energy,quality_rating,notes
2025-09-12T23:36:58.260209,test_h2o_relax,3,10,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.43,98.7,True,,,4,Successful dftb relaxation
2025-09-12T23:37:44.430072,w_hexamethyl,25,128,hessian-orca,"{'backend': 'orca', 'calculation_type': 'hessian', 'method': 'PBE', 'basis': 'def2-SVP'}",macOS Apple M1,4,1651.25,97.9,True,,,4,Successful orca hessian calculation
2025-09-12T23:46:33.374420,w_hexamethyl,25,128,relax-xtb,"{'backend': 'xtb', 'xtb_method': 'GFN2-xTB', 'xtb_backend': 'fixed'}",macOS Apple M1,4,0.01,98.1,True,,,2,xtb relaxation completed with issues
2025-09-12T23:46:55.265151,w_hexamethyl,25,128,relax-dftb-ptbp,{'backend': 'dftb-ptbp'},macOS Apple M1,4,11.81,97.4,True,,,4,Successful dftb-ptbp relaxation
2025-09-12T23:47:20.941442,w_hexamethyl,25,128,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,18.25,98.0,True,,,4,Successful dftb hessian calculation
2025-09-13T00:04:43.977501,w_hexamethyl,25,128,relax-dftb-ptbp,{'backend': 'dftb-ptbp'},macOS Apple M1,4,18.04,98.7,True,,,4,Successful dftb-ptbp relaxation
2025-09-13T00:08:36.263617,w_stm_tip_4_5,68,5032,relax-dftb-ptbp,{'backend': 'dftb-ptbp'},macOS Apple M1,4,714.81,108.1,False,,,,
2025-09-13T00:09:20.895476,w_stm_tip_3_3,28,2072,relax-dftb-ptbp,{'backend': 'dftb-ptbp'},macOS Apple M1,4,36.22,109.8,True,,,4,Successful dftb-ptbp relaxation
2025-09-13T00:12:15.943066,w_stm_tip_3_3,28,2072,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,40.15,109.8,True,,,4,Successful dftb hessian calculation
2025-09-13T11:18:13.026087,si_surface_3x3x3,62,491,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.43,104.9,False,,,1,"dftb relaxation failed: Calculator ""dftb"" failed with command ""dftb+ > si_surface.out"" failed in /Users/andreypanferov/Documents/mechanosynthesis/data/si_surface_3x3x3/temp with error code 1"
2025-09-13T11:44:00.324082,si_surface_3x3x3_fixed,,,relax-dftb-native,{'backend': 'dftb-native'},macOS Apple M1,4,0.00,52.1,False,,,1,dftb-native relaxation failed: Project folder data/si_surface_3x3x3_fixed does not exist
2025-09-13T11:44:13.121829,si_surface_3x3x3_fixed,,,relax-xtb,"{'backend': 'xtb', 'xtb_method': 'GFN2-xTB', 'xtb_backend': 'fixed'}",macOS Apple M1,4,0.00,93.6,False,,,1,xtb relaxation failed: Project folder data/si_surface_3x3x3_fixed does not exist
2025-09-13T11:44:47.641806,si_surface_3x3x3_fixed,59,488,relax-xtb,"{'backend': 'xtb', 'xtb_method': 'GFN2-xTB', 'xtb_backend': 'fixed'}",macOS Apple M1,4,0.01,97.9,True,,,2,xtb relaxation completed with issues
2025-09-13T11:44:58.098334,si_surface_3x3x3_fixed,59,488,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,1.22,99.7,False,,,1,"dftb relaxation failed: Calculator ""dftb"" failed with command ""dftb+ > si_surface.out"" failed in /Users/andreypanferov/Documents/mechanosynthesis/data/si_surface_3x3x3_fixed/temp with error code 1"
2025-09-13T11:53:44.181403,test_unified_dftb,,,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.00,98.2,False,,,1,dftb relaxation failed: Project folder data/test_unified_dftb does not exist
2025-09-13T11:54:53.403150,test_unified_dftb,,,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.01,82.1,False,,,1,dftb relaxation failed: Project folder data/test_unified_dftb does not exist
2025-09-13T11:56:08.694978,test_unified_dftb,3,10,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.17,98.1,True,,,4,Successful dftb relaxation
2025-09-13T12:18:21.391887,si_surface_4x4x3,112,944,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.54,98.5,False,,,,
2025-09-13T12:26:31.563161,si_surface_4x4x3,112,944,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,477.46,98.6,True,,,4,Successful dftb relaxation
2025-09-13T12:38:39.088022,si_surface_4x4x3_stable,,,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.01,89.8,False,,,1,dftb relaxation failed: Project folder data/si_surface_4x4x3_stable does not exist
